0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:01:48 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:01:48 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:01:48 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /appointments HTTP/1.1" 200 6866
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:04 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /appointments HTTP/1.1" 200 4052
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:02:07 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:19:31 +0100] "GET /appointments HTTP/1.1" 500 422
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:22:09 +0100] "GET /appointments HTTP/1.1" 500 422
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:24:08 +0100] "GET /appointments HTTP/1.1" 500 422
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /appointments HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:13:29:53 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
